Date,Price,Open,High,Low,Volume,Chg%
23-May-11,"5,386.55","5,456.70","5,456.70","5,373.00",94.67M,-1.82%
20-May-11,"5,486.35","5,450.65","5,517.55","5,432.75",127.40M,1.07%
19-May-11,"5,428.10","5,448.15","5,452.60","5,411.25",94.18M,0.14%
18-May-11,"5,420.60","5,448.20","5,460.50","5,401.25",107.36M,-0.34%
17-May-11,"5,438.95","5,496.10","5,523.85","5,421.05",109.20M,-1.09%
16-May-11,"5,499.00","5,541.70","5,541.80","5,487.65",94.22M,-0.83%
13-May-11,"5,544.75","5,492.35","5,605.00","5,472.15",119.42M,1.07%
12-May-11,"5,486.15","5,537.80","5,572.50","5,476.30",91.63M,-1.42%
11-May-11,"5,565.05","5,547.20","5,574.70","5,525.00",82.51M,0.43%
10-May-11,"5,541.25","5,555.55","5,592.90","5,514.55",88.82M,-0.18%
9-May-11,"5,551.10","5,575.20","5,586.05","5,502.40",75.44M,-0.01%
6-May-11,"5,551.45","5,477.65","5,564.40","5,472.45",122.68M,1.68%
5-May-11,"5,459.85","5,531.60","5,560.30","5,443.65",126.43M,-1.40%
4-May-11,"5,537.15","5,567.70","5,578.80","5,503.00",119.08M,-0.50%
3-May-11,"5,565.25","5,689.70","5,710.80","5,554.85",125.52M,-2.39%
2-May-11,"5,701.30","5,766.90","5,775.25","5,687.70",86.51M,-0.84%
29-Apr-11,"5,749.50","5,782.50","5,804.30","5,706.05",184.75M,-0.62%
28-Apr-11,"5,785.45","5,851.35","5,856.40","5,776.95",159.34M,-0.83%
27-Apr-11,"5,833.90","5,884.20","5,892.35","5,819.95",108.74M,-0.59%
26-Apr-11,"5,868.40","5,876.85","5,893.20","5,791.55",117.17M,-0.10%
25-Apr-11,"5,874.50","5,859.60","5,906.60","5,857.00",94.38M,-0.17%
21-Apr-11,"5,884.70","5,882.85","5,912.90","5,864.35",119.75M,0.56%
20-Apr-11,"5,851.65","5,786.05","5,857.35","5,759.65",117.90M,1.93%
19-Apr-11,"5,740.75","5,716.00","5,762.95","5,693.25",101.24M,0.20%
18-Apr-11,"5,729.10","5,824.35","5,897.90","5,722.25",121.11M,-1.64%
15-Apr-11,"5,824.55","5,898.75","5,907.35","5,806.45",140.59M,-1.47%
13-Apr-11,"5,911.50","5,747.95","5,923.60","5,735.55",145.70M,2.17%
11-Apr-11,"5,785.70","5,805.35","5,830.30","5,777.90",92.73M,-0.96%
8-Apr-11,"5,842.00","5,886.75","5,926.95","5,822.00",99.86M,-0.74%
7-Apr-11,"5,885.70","5,888.55","5,906.10","5,866.25",98.16M,-0.10%
